Time;EMG1;EMG2;EMG3;EMG4;EMG1_F;EMG2_F;EMG3_F;EMG4_F;
4194;0;0;0;0;30;30;30;30;
4207;0;0;0;0;30;30;30;30;
4217;0;0;0;0;30;30;30;30;
4228;0;0;0;0;30;30;30;30;
4237;0;0;0;0;30;30;30;30;
4248;0;0;0;0;30;30;30;30;
4257;0;0;0;0;30;30;30;30;
4267;0;0;0;0;30;30;30;30;
4281;0;0;0;0;30;30;30;30;
4292;0;0;0;0;30;30;30;30;
4302;0;0;0;0;30;30;30;30;
4312;0;0;0;0;30;30;30;30;
4321;0;0;0;0;30;30;30;30;
4331;0;0;0;0;30;30;30;30;
4342;0;0;0;0;30;30;30;30;
4357;0;0;0;0;30;30;30;30;
4367;0;0;0;0;30;30;30;30;
4378;0;0;0;0;30;30;30;30;
4388;0;0;0;0;30;30;30;30;
4397;0;0;0;0;30;30;30;30;
4408;0;0;0;0;30;30;30;30;
4419;0;0;0;0;30;30;30;30;
4429;0;0;0;0;30;30;30;30;
4440;0;0;0;0;30;30;30;30;
4450;0;0;0;0;30;30;30;30;
4461;0;0;0;0;30;30;30;30;
4477;0;0;0;0;30;30;30;30;
4487;0;0;0;0;30;30;30;30;
4497;0;0;0;0;30;30;30;30;
4508;0;0;0;0;30;30;30;30;
4519;0;0;0;0;30;30;30;30;
4527;0;0;0;0;30;30;30;30;
4538;0;0;0;0;30;30;30;30;
4549;0;0;0;0;30;30;30;30;
4559;0;0;0;0;30;30;30;30;
4568;0;0;0;0;30;30;30;30;
4580;0;0;0;0;30;30;30;30;
4590;0;0;0;0;30;30;30;30;
4600;0;0;0;0;30;30;30;30;
4611;0;0;0;0;30;30;30;30;
4621;0;0;0;0;30;30;30;30;
4630;0;0;0;0;30;30;30;30;
4639;0;0;0;0;30;30;30;30;
4650;0;0;0;0;30;30;30;30;
4660;0;0;0;0;30;30;30;30;
4669;0;0;0;0;30;30;30;30;
4679;0;0;0;0;30;30;30;30;
4689;0;0;0;0;30;30;30;30;
4698;0;0;0;0;30;30;30;30;
4710;0;0;0;0;30;30;30;30;
4721;0;0;0;0;30;30;30;30;
4731;0;0;0;0;30;30;30;30;
4741;0;0;0;0;30;30;30;30;
4751;0;0;0;0;30;30;30;30;
4762;0;0;0;0;30;30;30;30;
4771;0;0;0;0;30;30;30;30;
4781;0;0;0;0;30;30;30;30;
4790;0;0;0;0;30;30;30;30;
4800;0;0;0;0;30;30;30;30;
4810;0;0;0;0;30;30;30;30;
4820;0;0;0;0;30;30;30;30;
4830;0;0;0;0;30;30;30;30;
4840;0;0;0;0;30;30;30;30;
4851;0;0;0;0;30;30;30;30;
4862;0;0;0;0;30;30;30;30;
4871;0;0;0;0;30;30;30;30;
4884;0;0;0;0;30;30;30;30;
4896;0;0;0;0;30;30;30;30;
4910;0;0;0;0;30;30;30;30;
4919;0;0;0;0;30;30;30;30;
4928;0;0;0;0;30;30;30;30;
4938;0;0;0;0;30;30;30;30;
4949;0;0;0;0;30;30;30;30;
4959;0;0;0;0;30;30;30;30;
4971;0;0;0;0;30;30;30;30;
4982;0;0;0;0;30;30;30;30;
4991;0;0;0;0;30;30;30;30;
5001;0;0;0;0;30;30;30;30;
5011;0;0;0;0;30;30;30;30;
5023;0;0;0;0;30;30;30;30;
5033;0;0;0;0;30;30;30;30;
5044;0;0;0;0;30;30;30;30;
5053;0;0;0;0;30;30;30;30;
5063;0;0;0;0;30;30;30;30;
5075;0;0;0;0;30;30;30;30;
5085;0;0;0;0;30;30;30;30;
5094;0;0;0;0;30;30;30;30;
5104;0;0;0;0;30;30;30;30;
5115;0;0;0;0;30;30;30;30;
5126;0;0;0;0;30;30;30;30;
5135;0;0;0;0;30;30;30;30;
5146;0;0;0;0;30;30;30;30;
5156;0;0;0;0;30;30;30;30;
5170;0;0;0;0;30;30;30;30;
5180;0;0;0;0;30;30;30;30;
5189;0;0;0;0;30;30;30;30;
5200;0;0;0;0;30;30;30;30;
5211;0;0;0;0;30;30;30;30;
5222;0;0;0;0;30;30;30;30;
5232;0;0;0;0;30;30;30;30;
5246;0;0;0;0;30;30;30;30;
5256;0;0;0;0;30;30;30;30;
5267;0;0;0;0;30;30;30;30;
5278;0;0;0;0;30;30;30;30;
5288;0;0;0;0;30;30;30;30;
5299;0;0;0;0;30;30;30;30;
5309;0;0;0;0;30;30;30;30;
5318;0;0;0;0;30;30;30;30;
5329;0;0;0;0;30;30;30;30;
5337;0;0;0;0;30;30;30;30;
5348;0;0;0;0;30;30;30;30;
5359;0;0;0;0;30;30;30;30;
5370;0;0;0;0;30;30;30;30;
5385;0;0;0;0;30;30;30;30;
5394;0;0;0;0;30;30;30;30;
5403;0;0;0;0;30;30;30;30;
5413;0;0;0;0;30;30;30;30;
5423;0;0;0;0;30;30;30;30;
5433;0;0;0;0;30;30;30;30;
5442;0;0;0;0;30;30;30;30;
5453;0;0;0;0;30;30;30;30;
5463;0;0;0;0;30;30;30;30;
5473;0;0;0;0;30;30;30;30;
5484;0;0;0;0;30;30;30;30;
5494;0;0;0;0;30;30;30;30;
5503;0;0;0;0;30;30;30;30;
5514;0;0;0;0;30;30;30;30;
5524;0;0;0;0;30;30;30;30;
5532;0;0;0;0;30;30;30;30;
5542;0;0;0;0;30;30;30;30;
5553;0;0;0;0;30;30;30;30;
5562;0;0;0;0;30;30;30;30;
5571;0;0;0;0;30;30;30;30;
5581;0;0;0;0;30;30;30;30;
5591;0;0;0;0;30;30;30;30;
5601;0;0;0;0;30;30;30;30;
5611;0;0;0;0;30;30;30;30;
5621;0;0;0;0;30;30;30;30;
5631;0;0;0;0;30;30;30;30;
5641;0;0;0;0;30;30;30;30;
5651;0;0;0;0;30;30;30;30;
5661;0;0;0;0;30;30;30;30;
5671;0;0;0;0;30;30;30;30;
5681;0;0;0;0;30;30;30;30;
5691;0;0;0;0;30;30;30;30;
5700;0;0;0;0;30;30;30;30;
5710;0;0;0;0;30;30;30;30;
5720;0;0;0;0;30;30;30;30;
5729;0;0;0;0;30;30;30;30;
5738;0;0;0;0;30;30;30;30;
5749;0;0;0;0;30;30;30;30;
5759;0;0;0;0;30;30;30;30;
5768;0;0;0;0;30;30;30;30;
5778;0;0;0;0;30;30;30;30;
5789;0;0;0;0;30;30;30;30;
5799;0;0;0;0;30;30;30;30;
5808;0;0;0;0;30;30;30;30;
5819;0;0;0;0;30;30;30;30;
5829;0;0;0;0;30;30;30;30;
5840;0;0;0;0;30;30;30;30;
5849;0;0;0;0;30;30;30;30;
5860;0;0;0;0;30;30;30;30;
5869;0;0;0;0;30;30;30;30;
5880;0;0;0;0;30;30;30;30;
5890;0;0;0;0;30;30;30;30;
5899;0;0;0;0;30;30;30;30;
5907;0;0;0;0;30;30;30;30;
5917;0;0;0;0;30;30;30;30;
5927;0;0;0;0;30;30;30;30;
5937;0;0;0;0;30;30;30;30;
5947;0;0;0;0;30;30;30;30;
5957;0;0;0;0;30;30;30;30;
5967;0;0;0;0;30;30;30;30;
5978;0;0;0;0;30;30;30;30;
5987;0;0;0;0;30;30;30;30;
5996;0;0;0;0;30;30;30;30;
6007;0;0;0;0;30;30;30;30;
6017;0;0;0;0;30;30;30;30;
6027;0;0;0;0;30;30;30;30;
6037;0;0;0;0;30;30;30;30;
6047;0;0;0;0;30;30;30;30;
6058;0;0;0;0;30;30;30;30;
6068;0;0;0;0;30;30;30;30;
6078;0;0;0;0;30;30;30;30;
6088;0;0;0;0;30;30;30;30;
6102;0;0;0;0;30;30;30;30;
6113;0;0;0;0;30;30;30;30;
6122;0;0;0;0;30;30;30;30;
6132;0;0;0;0;30;30;30;30;
6142;0;0;0;0;30;30;30;30;
6155;0;0;0;0;30;30;30;30;
6167;0;0;0;0;30;30;30;30;
6177;0;0;0;0;30;30;30;30;
6187;0;0;0;0;30;30;30;30;
6200;0;0;0;0;30;30;30;30;
6209;0;0;0;0;30;30;30;30;
6219;0;0;0;0;30;30;30;30;
6228;0;0;0;0;30;30;30;30;
6239;0;0;0;0;30;30;30;30;
6249;0;0;0;0;30;30;30;30;
6258;0;0;0;0;30;30;30;30;
6268;0;0;0;0;30;30;30;30;
6279;0;0;0;0;30;30;30;30;
6288;0;0;0;0;30;30;30;30;
6299;0;0;0;0;30;30;30;30;
