Time;EMG1;EMG2;EMG3;EMG4;
4359;-35,50548;-4,639342;-23,76048;-46,29556;
4378;-38,30389;-5,193004;-26,44356;-42,34839;
4396;-33,51106;-5,027484;-26,458;-48,92437;
4414;-33,2763;-4,315486;-24,10972;-34,62023;
4433;-34,50245;-4,44963;-26,47547;-38,55769;
4450;-31,7587;-8,109529;-24,1356;-47,86671;
4469;-32,32131;-6,080461;-25,93312;-39,13208;
4486;-33,36554;-5,060996;-25,58342;-43,96049;
4504;-36,6081;-7,840235;-21,45097;-37,57248;
4521;-36,6081;-7,840235;-21,45097;-37,57248;
4541;-37,38897;-6,573967;-24,81797;-50,3793;
4560;-32,87499;-4,697792;-25,35033;-42,96036;
4578;-33,05382;-2,997331;-25,71329;-43,31103;
4595;-35,24211;-6,765347;-24,66224;-25,41722;
4613;-33,54145;-6,696443;-24,44828;-40,12894;
4632;-33,90251;-7,869341;-18,87131;-46,68498;
4648;-33,73507;-5,215816;-28,1886;-38,28111;
4667;-33,64694;-7,904011;-25,03079;-33,75393;
4684;-33,35986;-6,901768;-27,92578;-64,5068;
4701;-33,35986;-6,901768;-27,92578;-64,5068;
4719;-32,74533;-6,409403;-23,90509;-45,69576;
4736;-36,57746;-3,673374;-25,71978;-40,72255;
4754;-34,78349;-5,094273;-29,19812;-40,34031;
4775;-32,05351;-3,582892;-21,27906;-43,92213;
4794;-33,66036;-8,134008;-30,25467;-44,52142;
4811;-34,08736;-8,05129;-24,72171;-43,8214;
4832;-35,24127;-10,26961;-23,91594;-39,67257;
4851;-33,91144;-6,477201;-30,60067;-36,21449;
4869;-33,53846;-10,3378;-23,15413;-34,90125;
4886;-32,15625;-5,681042;-25,01495;-42,95801;
4910;-25,26384;-10,69546;-30,58203;-35,01952;
4929;-31,181;-5,151124;-21,56124;-40,59472;
4947;-33,72489;-9,365801;-25,97108;-45,99648;
4966;-34,18017;-4,242033;-25,91578;-40,8327;
4985;-32,14072;-7,361835;-19,60312;-41,10253;
5002;-32,14072;-7,361835;-19,60312;-41,10253;
5020;-34,04888;-8,63832;-20,44631;-43,84602;
5038;-33,54031;-3,325514;-28,6619;-34,11529;
5058;-35,09672;-10,11482;-26,20028;-37,6551;
5077;-33,25739;-4,408913;-19,82714;-49,04386;
5096;-37,50577;-5,938743;-27,43399;-36,90662;
5113;-30,4863;-6,701328;-22,40982;-35,21307;
5130;-34,20208;-6,448962;-27,30248;-31,50274;
5147;-32,55954;-8,098139;-21,98485;-42,8834;
5166;-31,81512;-7,121528;-25,11374;-48,77515;
5184;-34,09192;-8,409541;-22,51576;-33,86361;
5200;-34,09192;-8,409541;-22,51576;-33,86361;
5220;-34,88287;-6,327771;-29,35757;-46,15939;
5239;-36,23585;-2,59627;-23,08371;-29,9353;
5257;-35,26348;-3,025357;-25,74685;-41,13929;
5277;-33,55394;-6,63014;-24,50278;-39,88322;
5295;-34,08853;-8,023349;-27,16847;-43,16178;
5314;-35,84509;-6,65636;-31,50885;-41,34236;
5332;-33,44939;-8,371504;-27,49579;-30,94402;
5351;-35,54808;-9,378899;-24,43743;-23,71446;
5371;-30,84252;-4,375155;-20,12285;-50,3723;
5389;-31,01931;-7,974655;-29,63189;-35,69802;
5408;-33,36117;-4,847905;-30,04779;-39,46876;
5426;-32,79335;-7,051711;-19,58027;-44,5724;
5449;-32,75989;-6,067976;-25,13059;-39,87417;
5467;-33,52687;-8,007183;-26,47976;-39,9691;
5487;-35,81461;-11,44694;-23,00317;-41,60212;
5506;-32,53391;-4,535647;-28,61562;-36,29489;
5524;-28,84885;-9,182131;-28,76042;-44,26651;
5542;-28,84885;-9,182131;-28,76042;-44,26651;
5560;-26,3182;-8,159751;-30,667;-32,82453;
5579;-11,56089;25,24561;-25,27515;-43,77441;
5597;-74,63636;-18,35728;-28,59897;-43,25371;
5615;-73,29228;-25,0125;-24,50698;-35,07661;
5633;279,3257;259,2716;-24,52162;-34,89041;
5651;-39,88374;-25,76558;-21,52293;-42,45296;
5669;-54,96647;-34,87278;-29,26126;-37,24422;
5687;-71,20005;-38,45566;-24,5216;-38,83369;
5705;82,96138;-74,00439;-24,24234;-36,40744;
